date,current_balance,unit_price,daily_profit,is_stop_loss,is_take_profit
2025-10-18,168105,100,-2400,0,0
2025-10-19,166205,100,-1900,0,0
2025-10-25,164605,100,-1600,0,0
2025-10-26,163405,100,-1200,0,0
2025-11-01,161205,100,-2200,0,0
2025-11-02,159805,100,-1400,0,0
2025-11-08,157405,100,-2400,0,0
2025-11-09,155105,100,-2300,0,0
2025-11-15,153005,100,-2100,0,0
2025-11-16,150105,100,-2900,0,0
2025-11-22,147305,100,-2800,0,0
2025-11-23,144605,100,-2700,0,0
2025-11-24,140305,100,-4300,0,0
2025-11-29,138505,100,-1800,0,0
2025-11-30,135605,100,-2900,0,0
2025-12-06,131305,100,-4300,0,0
2025-12-07,128605,100,-2700,0,0
2025-12-13,124805,100,-3800,0,0
2025-12-14,122705,100,-2100,0,0
2025-12-20,119305,100,-3400,0,0
2025-12-21,115505,100,-3800,0,0
2025-12-27,111805,100,-3700,0,0
2025-12-28,109905,100,-1900,0,0
