date,current_balance,daily_profit,unit_price,bets_placed
2023-08-06,170339,-1000,100,0
2023-08-12,172519,2180,100,0
2023-08-13,170719,-1800,100,0
2023-08-19,166719,-4000,100,0
2023-08-20,173679,6960,100,0
2023-08-26,184229,10550,100,0
2023-08-27,199469,15240,100,0
2023-09-02,209238,9769,100,0
2023-09-03,272058,62820,200,0
2023-09-09,270058,-2000,200,0
2023-09-10,269258,-800,200,0
2023-09-16,267658,-1600,200,0
2023-09-17,279138,11480,200,0
2023-09-18,276738,-2400,200,0
2023-09-23,274738,-2000,200,0
2023-09-24,272738,-2000,200,0
2023-09-30,270338,-2400,200,0
2023-10-01,269538,-800,200,0
2023-10-07,266338,-3200,200,0
2023-10-08,262538,-3800,200,0
2023-10-09,260138,-2400,200,0
2023-10-14,272057,11919,200,0
2023-10-15,273757,1700,200,0
2023-10-21,268557,-5200,200,0
2023-10-22,263757,-4800,200,0
2023-10-28,287557,23800,200,0
2023-10-29,293577,6020,200,0
2023-11-04,287977,-5600,200,0
2023-11-05,285637,-2340,200,0
2023-11-11,278637,-7000,200,0
2023-11-12,275297,-3340,200,0
2023-11-18,265897,-9400,200,0
2023-11-19,257697,-8200,200,0
2023-11-25,251297,-6400,200,0
2023-11-26,245077,-6220,200,0
2023-12-02,261377,16300,200,0
2023-12-03,265737,4360,200,0
2023-12-09,258537,-7200,200,0
2023-12-10,253737,-4800,200,0
2023-12-16,252637,-1100,200,0
2023-12-17,244637,-8000,200,0
2023-12-23,237237,-7400,200,0
2023-12-24,229637,-7600,200,0
2023-12-28,222037,-7600,200,0
2024-01-06,216837,-5200,200,0
2024-01-07,210037,-6800,200,0
2024-01-08,205437,-4600,200,0
2024-01-13,197737,-7700,200,0
2024-01-14,193237,-4500,100,0
2024-01-20,189737,-3500,100,0
2024-01-21,186137,-3600,100,0
2024-01-27,192547,6410,100,0
2024-01-28,188547,-4000,100,0
2024-02-03,206557,18010,100,0
2024-02-04,198757,-7800,200,0
2024-02-10,195457,-3300,100,0
2024-02-11,200397,4940,100,0
2024-02-17,201867,1470,200,0
2024-02-18,197867,-4000,200,0
2024-02-24,194367,-3500,100,0
2024-02-25,191667,-2700,100,0
2024-03-02,190327,-1340,100,0
2024-03-03,186627,-3700,100,0
2024-03-09,183127,-3500,100,0
2024-03-10,180027,-3100,100,0
2024-03-16,175927,-4100,100,0
2024-03-17,172527,-3400,100,0
2024-03-23,168327,-4200,100,0
2024-03-24,164627,-3700,100,0
2024-03-30,161627,-3000,100,0
2024-03-31,158427,-3200,100,0
2024-04-06,154427,-4000,100,0
2024-04-07,151627,-2800,100,0
2024-04-13,148527,-3100,100,0
2024-04-14,146627,-1900,100,0
2024-04-20,141027,-5600,100,0
2024-04-21,162137,21110,100,0
2024-04-27,156537,-5600,100,0
2024-04-28,153337,-3200,100,0
2024-05-04,164647,11310,100,0
2024-05-05,169027,4380,100,0
2024-05-11,165227,-3800,100,0
2024-05-12,164567,-660,100,0
2024-05-18,164307,-260,100,0
2024-05-19,162107,-2200,100,0
2024-05-25,159407,-2700,100,0
2024-05-26,157207,-2200,100,0
2024-06-01,169057,11850,100,0
2024-06-02,167157,-1900,100,0
2024-06-08,178207,11050,100,0
2024-06-09,175407,-2800,100,0
2024-06-15,173107,-2300,100,0
2024-06-16,183876,10769,100,0
2024-06-22,180776,-3100,100,0
2024-06-23,196396,15620,100,0
2024-06-29,194896,-1500,100,0
2024-06-30,193796,-1100,100,0
2024-07-06,192796,-1000,100,0
2024-07-07,195916,3120,100,0
2024-07-13,229466,33550,100,0
2024-07-14,228066,-1400,200,0
2024-07-20,248206,20140,200,0
2024-07-21,249566,1360,200,0
2024-07-27,246166,-3400,200,0
2024-07-28,244966,-1200,200,0
2024-08-03,263886,18920,200,0
2024-08-04,262286,-1600,200,0
2024-08-10,255686,-6600,200,0
2024-08-11,251086,-4600,200,0
2024-08-17,250206,-880,200,0
2024-08-18,243206,-7000,200,0
2024-08-24,236206,-7000,200,0
2024-08-25,232406,-3800,200,0
2024-08-31,229366,-3040,200,0
2024-09-01,225766,-3600,200,0
2024-09-07,224366,-1400,200,0
2024-09-08,222366,-2000,200,0
2024-09-14,220166,-2200,200,0
2024-09-15,219166,-1000,200,0
2024-09-16,218166,-1000,200,0
2024-09-21,215766,-2400,200,0
2024-09-22,218786,3020,200,0
2024-09-28,234686,15900,200,0
2024-09-29,231686,-3000,200,0
2024-10-05,235606,3920,200,0
2024-10-06,232606,-3000,200,0
2024-10-12,271046,38440,200,0
2024-10-13,269846,-1200,200,0
2024-10-14,267646,-2200,200,0
2024-10-19,271945,4299,200,0
2024-10-20,270345,-1600,200,0
2024-10-26,265345,-5000,200,0
2024-10-27,259945,-5400,200,0
2024-11-02,257545,-2400,200,0
2024-11-03,258905,1360,200,0
2024-11-09,254505,-4400,200,0
2024-11-10,270725,16220,200,0
2024-11-16,264725,-6000,200,0
2024-11-17,263565,-1160,200,0
2024-11-23,256965,-6600,200,0
2024-11-24,251965,-5000,200,0
2024-11-30,244565,-7400,200,0
2024-12-01,242044,-2521,200,0
2024-12-07,302284,60240,200,0
2024-12-08,302924,640,300,0
2024-12-14,294644,-8280,300,0
2024-12-15,286244,-8400,200,0
2024-12-21,279844,-6400,200,0
2024-12-22,275644,-4200,200,0
2024-12-28,269044,-6600,200,0
2025-01-05,264444,-4600,200,0
2025-01-06,298124,33680,200,0
2025-01-11,294524,-3600,200,0
2025-01-12,293164,-1360,200,0
2025-01-13,309484,16320,200,0
2025-01-18,301684,-7800,300,0
2025-01-19,353314,51630,300,0
2025-01-25,344314,-9000,300,0
2025-01-26,334114,-10200,300,0
2025-02-01,345094,10980,300,0
2025-02-02,339994,-5100,300,0
2025-02-08,333694,-6300,300,0
2025-02-09,327694,-6000,300,0
2025-02-10,326194,-1500,300,0
2025-02-15,315394,-10800,300,0
2025-02-16,337144,21750,300,0
2025-02-22,330034,-7110,300,0
2025-02-23,320134,-9900,300,0
2025-03-01,400214,80080,300,0
2025-03-02,390514,-9700,400,0
2025-03-08,384514,-6000,300,0
2025-03-09,379414,-5100,300,0
2025-03-15,370714,-8700,300,0
2025-03-16,362914,-7800,300,0
2025-03-22,430584,67670,300,0
2025-03-23,422184,-8400,400,0
2025-03-29,451784,29600,400,0
2025-03-30,438184,-13600,400,0
2025-04-05,427384,-10800,400,0
2025-04-06,417784,-9600,400,0
2025-04-12,572994,155210,400,0
2025-04-13,599044,26050,500,0
2025-04-19,619894,20850,500,0
2025-04-20,603694,-16200,600,0
2025-04-26,586794,-16900,600,0
2025-04-27,570794,-16000,500,0
2025-05-03,558794,-12000,500,0
2025-05-04,541294,-17500,500,0
2025-05-10,525794,-15500,500,0
2025-05-11,515294,-10500,500,0
2025-05-17,504294,-11000,500,0
2025-05-18,528814,24520,500,0
2025-05-24,535714,6900,500,0
2025-05-25,560814,25100,500,0
2025-05-31,581514,20700,500,0
2025-06-01,571014,-10500,500,0
2025-06-07,558014,-13000,500,0
2025-06-08,543014,-15000,500,0
2025-06-14,525014,-18000,500,0
2025-06-15,515014,-10000,500,0
2025-06-21,510114,-4900,500,0
2025-06-22,503114,-7000,500,0
2025-06-28,496014,-7100,500,0
2025-06-29,548394,52380,400,0
2025-07-05,603794,55400,500,0
2025-07-06,600794,-3000,600,0
2025-07-12,594594,-6200,600,0
2025-07-13,588594,-6000,500,0
2025-07-19,585094,-3500,500,0
2025-07-20,576594,-8500,500,0
2025-07-26,569094,-7500,500,0
2025-07-27,561094,-8000,500,0
2025-08-02,567794,6700,500,0
2025-08-03,560794,-7000,500,0
2025-08-09,550794,-10000,500,0
2025-08-10,538294,-12500,500,0
2025-08-16,525794,-12500,500,0
2025-08-17,510294,-15500,500,0
2025-08-23,500794,-9500,500,0
2025-08-24,550114,49320,500,0
2025-08-30,537614,-12500,500,0
2025-08-31,525614,-12000,500,0
2025-09-06,558864,33250,500,0
2025-09-07,549364,-9500,500,0
2025-09-13,542864,-6500,500,0
2025-09-14,538864,-4000,500,0
2025-09-15,528364,-10500,500,0
2025-09-20,520864,-7500,500,0
2025-09-21,510364,-10500,500,0
2025-09-27,506244,-4120,500,0
2025-09-28,494444,-11800,500,0
2025-10-04,486844,-7600,400,0
2025-10-05,703063,216219,400,0
2025-10-11,695363,-7700,700,0
2025-10-12,691163,-4200,600,0
2025-10-13,685163,-6000,600,0
2025-10-18,674963,-10200,600,0
2025-10-19,662363,-12600,600,0
2025-10-25,652763,-9600,600,0
2025-10-26,644963,-7800,600,0
2025-11-01,632963,-12000,600,0
2025-11-02,623363,-9600,600,0
2025-11-08,698383,75020,600,0
2025-11-09,682783,-15600,600,0
2025-11-15,670183,-12600,600,0
2025-11-16,651583,-18600,600,0
2025-11-22,632383,-19200,600,0
2025-11-23,616183,-16200,600,0
2025-11-24,685423,69240,600,0
2025-11-29,729663,44240,600,0
2025-11-30,710063,-19600,700,0
2025-12-06,679663,-30400,700,0
2025-12-07,661663,-18000,600,0
2025-12-13,639463,-22200,600,0
2025-12-14,627463,-12000,600,0
2025-12-20,604063,-23400,600,0
2025-12-21,590203,-13860,600,0
2025-12-27,568703,-21500,500,0
